Familia profesional,Nivel Ciclo Formativo,Ciclo Formativo,Unidades de competencia acreditadas,Módulos profesionales convalidables
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,"UC1866_2: Organizar, dinamizar y evaluar actividades en el tiempo libre educativo infantil y juvenil.
UC1867_2: Actuar en procesos grupales considerando el comportamiento y las características evolutivas de la infancia y juventud.
UC1868_2: Emplear técnicas y recursos educativos de animación en el tiempo libre.","1328. Atención a grupos.
1335. Técnicas de tiempo libre."
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,UC0269_2: Ejecutar técnicas específicas de natación con eficacia y seguridad.,1336. Técnicas de natación.
Actividades físicas y deportivas,CFGM,Técnico en Guía en el Medio Natural y de Tiempo Libre,"UC0272_2: Asistir como primer interviniente en caso de accidente o situación de emergencia.
UC1082_2: Prevenir accidentes o situaciones de emergencia en espacios acuáticos naturales.
UC1083_2: Rescatar a personas en caso de accidente o situaciones de emergencia en espacios acuáticos naturales.",1337. Socorrismo en el medio natural.
Actividades físicas y deportivas,CFGS,Técnico Superior en Acondicionamiento Físico,"UC0273_3 Determinar la condición física, biológica y motivacional del usuario.
UC0272_2 Asistir como primer interviniente en caso de accidente o situación de emergencia.",1136 Valoración de la condición física e intervención en accidentes.
Actividades físicas y deportivas,CFGS,Técnico Superior en Acondicionamiento Físico,"UC2810_3 Trasladar la programación de referencia diseñada por el centro a las personas usuarias de la Sala de Entrenamiento Polivalente (SEP).
UC0275_3 Instruir y dirigir actividades de acondicionamiento físico con equipamientos y materiales propios de las SEP.",1148. Fitness en sala de entrenamiento polivalente.
Actividades físicas y deportivas,CFGS,Técnico Superior en Acondicionamiento Físico,"UC2366_3 Diseñar coreografías con los ejercicios y técnicas con afinidad musical, destinadas a la mejora de la condición física y bienestar del usuario.
UC2276_3 Dirigir programas y sesiones de actividades coreografiadas colectivas de acondicionamiento físico con soporte musical.
UC2367_3 Programar las actividades coreografiadas colectivas de acondicionamiento físico, con ejercicios y técnicas con afinidad musical, de acuerdo a la programación general de referencia.","1149. Actividades básicas de acondicionamiento físico con soporte musical.
1150. Actividades especializadas de acondicionamiento físico con soporte musical."
Actividades físicas y deportivas,CFGS,Técnico Superior en Acondicionamiento Físico,"UC1663_3 Diseñar y ejecutar habilidades y secuencias de fitness acuático.
UC1664_3 Programar, dirigir y dinamizar actividades de fitness acuático.",1151. Acondicionamiento físico en el agua.
Actividades físicas y deportivas,CFGS,Técnico Superior en Acondicionamiento Físico,UC1665_3 Elaborar y aplicar protocolos de hidrocinesia.,1152. Técnicas de hidrocinesia.
Actividades físicas y deportivas,CFGS,Técnico Superior en Enseñanza y Animación Sociodeportiva,"UC1868_2: Emplear técnicas y recursos educativos de animación en el tiempo libre.
UC1869_3: Planificar, organizar, gestionar y evaluar proyectos de tiempo libre educativo.",1123. Actividades de ocio y tiempo libre.
Actividades físicas y deportivas,CFGS,Técnico Superior en Enseñanza y Animación Sociodeportiva,"UC1867_2: Actuar en procesos grupales considerando el comportamiento y las características evolutivas de la infancia y juventud.
UC1870_3: Generar equipos de monitores/as, dinamizándolos y supervisándolos en proyectos educativos de tiempo libre.",1124. Dinamización grupal.
Actividades físicas y deportivas,CFGS,Técnico Superior en Enseñanza y Animación Sociodeportiva,UC1093_3: Crear y dinamizar grupos en situaciones de ocio.,1124. Dinamización grupal.
Actividades físicas y deportivas,CFGS,Técnico Superior en Enseñanza y Animación Sociodeportiva,"UC0273_3: Determinar la condición física, biológica y motivacional del usuario.
UC0272_2: Asistir como primer interviniente en caso de accidente o situación de emergencia.",1136. Valoración de la condición física e intervención en accidentes.
Actividades físicas y deportivas,CFGS,Técnico Superior en Enseñanza y Animación Sociodeportiva,"UC2574_3 Programar y dinamizar eventos, actividades y juegos de animación físico-deportiva y recreativa en el medio terrestre.
UC2575_3 Programar y dinamizar eventos, actividades y juegos de animación físico-deportiva y recreativa en el medio acuático.",1137. Planificación de la animación sociodeportiva.
Actividades físicas y deportivas,CFGS,Técnico Superior en Enseñanza y Animación Sociodeportiva,"UC2574_3 Programar y dinamizar eventos, actividades y juegos de animación físico-deportiva y recreativa en el medio terrestre.
UC2575_3 Programar y dinamizar eventos, actividades y juegos de animación físico-deportiva y recreativa en el medio acuático.
UC1095_3: Organizar y desarrollar actividades culturales con fines de animación turística y recreativa.
UC1096_3: Organizar y desarrollar veladas y espectáculos con fines de animación.",1138. Juegos y actividades físico-recreativas y de animación turística.
Actividades físicas y deportivas,CFGS,Técnico Superior en Enseñanza y Animación Sociodeportiva,"UC1094_3: Organizar y desarrollar actividades lúdicas y físico-recreativas en animación turística.
UC1095_3: Organizar y desarrollar actividades culturales con fines de animación turística y recreativa.
UC1096_3: Organizar y desarrollar veladas y espectáculos con fines de animación.",1138. Juegos y actividades físico-recreativas y de animación turística.
Administración y Gestión,CFGM,Técnico en Gestión Administrativa,"UC0975_2: Recepcionar y procesar las comunicaciones internas y externas.
UC0978_2: Gestionar el archivo en soporte convencional e informático.",0437. Comunicación empresarial y atención al cliente.
Administración y Gestión,CFGM,Técnico en Gestión Administrativa,UC0976_2: Realizar las gestiones administrativas del proceso comercial.,0438. Operaciones administrativas de la compra-venta.
Administración y Gestión,CFGM,Técnico en Gestión Administrativa,"UC0973_1: Introducir datos y textos en terminales informáticos en condiciones de seguridad, calidad y eficiencia.
UC0233_2: Manejar aplicaciones ofimáticas en la gestión de la información y la documentación.",0440. Tratamiento informático de la información.
Administración y Gestión,CFGM,Técnico en Gestión Administrativa,"UC9998_2 comunicarse en lengua inglesa con un nivel de usuario básico (a2), según el marco común europeo de referencia para las lenguas, en el ámbito profesional.",0444. Inglés.
Administración y Gestión,CFGM,Técnico en Gestión Administrativa,UC0979_2: Realizar las gestiones administrativas de tesorería.,0448. Operaciones auxiliares de gestión de tesorería.
Administración y Gestión,CFGM,Técnico en Gestión Administrativa,UC0980_2: Efectuar las actividades de apoyo administrativo de Recursos Humanos.,0442. Operaciones administrativas de recursos humanos.
Administración y Gestión,CFGM,Técnico en Gestión Administrativa,UC0981_2: Realizar registros contables.,"0443. Tratamiento de la documentación contable.
0441. Técnica contable."
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,UC0988_3: Preparar y presentar expedientes y documentación jurídica y empresarial ante Organismos y Administraciones Públicas.,0647. Gestión de la documentación jurídica y empresarial.
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,"UC0238_3 Realizar el apoyo administrativo a las tareas de selección, formación y desarrollo de recursos humanos.
UC0980_2: Efectuar las actividades de apoyo administrativo de recursos humanos",0648. Recursos humanos y responsabilidad social corporativa.
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,"UC0987_3 Administrar los sistemas de información y archivo en soporte convencional e informático.
UC0986_3: Elaborar documentación y presentaciones profesionales en distintos formatos.
UC0233_2 Manejar aplicaciones ofimáticas en la gestión de la información y la documentación.",0649. Ofimática y proceso de la información.
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,"UC0500_3 Gestionar y controlar la tesorería y su presupuesto.
UC0979_2: Realizar las gestiones administrativas de tesorería.",0650. Proceso integral de la actividad comercial.
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,UC0982_3: Administrar y gestionar con autonomía las comunicaciones de la dirección.,0651. Comunicación y atención al cliente.
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,UC0237_3 Realizar la gestión y control administrativo de recursos humanos.,0652. Gestión de recursos humanos.
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,"UC0498_3 Determinar las necesidades financieras de la empresa.
UC0499_3 Gestionar la información y contratación de los recursos financieros.",0653. Gestión financiera.
Administración y Gestión,CFGS,Técnico Superior en Administración y Finanzas,UC0231_3 Realizar la gestión contable y fiscal.,0654. Contabilidad y fiscalidad.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,UC0988_3: Preparar y presentar expedientes y documentación jurídica y empresarial ante Organismos y Administraciones Públicas.,0647. Gestión de la documentación jurídica y empresarial.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,"UC0238_3: Realizar el apoyo administrativo a las tareas de selección, formación y desarrollo de recursos humanos.
UC0980_2: Efectuar las actividades de apoyo administrativo de Recursos Humanos.",0648. Recursos humanos y responsabilidad social corporativa.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,"UC0987_3: Administrar los sistemas de información y archivo en soporte convencional e informático.
UC0986_3: Elaborar documentación y presentaciones profesionales en distintos formatos.
UC0233_2: Manejar aplicaciones ofimáticas en la gestión de la información y la documentación.",0649. Ofimática y proceso de la información.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,"UC0500_3: Gestionar y controlar la tesorería y su presupuesto.
UC0979_2: Realizar las gestiones administrativas de tesorería.",0650. Proceso integral de la actividad comercial.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,UC0982_3: Administrar y gestionar con autonomía las comunicaciones de la dirección.,0651. Comunicación y atención al cliente.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,UC0983_3: Gestionar de forma proactiva actividades de asistencia a la dirección en materia de organización.,0662. Organización de eventos empresariales.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,"UC9999_3: Comunicarse en lengua inglesa con un nivel de usuario independiente (b1), según el marco común europeo de referencia para las lenguas, en el ámbito profesional.",0179. Inglés.
Administración y Gestión,CFGS,Técnico Superior en Asistencia a la Dirección,"UC9996_2 Comunicarse en una segunda lengua extranjera distinta del inglés con un nivel de usuario básico (a2), según el marco común europeo de referencia para las lenguas, en el ámbito profesional.",0180. Segunda lengua extranjera.
Agraria,CFGM,Técnico en Aprovechamiento y Conservación del Medio Natural,"UC1125_2: Realizar operaciones de repoblación forestal y de corrección hidrológico-forestal.
UC1126_2: Realizar tratamientos selvícolas.",0832. Repoblaciones forestales y tratamientos selvícolas.
Agraria,CFGM,Técnico en Aprovechamiento y Conservación del Medio Natural,"UC1116_2: Realizar el apeo y procesado de árboles con motosierra.
UC1117_2: Realizar el apeo y procesado de árboles con cosechadora forestal.",0833. Aprovechamiento del medio natural.
Agraria,CFGM,Técnico en Aprovechamiento y Conservación del Medio Natural,"UC1473_2: Realizar trabajos de repoblación de especies acuícolas continentales y de conservación y mejora de su hábitat.
UC1475_2: Realizar trabajos de repoblación de especies cinegéticas.",0834. Conservación de las especies cinegéticas y piscícolas.
Agraria,CFGM,Técnico en Aprovechamiento y Conservación del Medio Natural,UC1479_2: Realizar operaciones de propagación de plantas en vivero.,0835. Producción de planta forestal en vivero.
Agraria,CFGM,Técnico en Aprovechamiento y Conservación del Medio Natural,"UC0525_2: Controlar las plagas, enfermedades, malas hierbas y fisiopatías.","0409 Principios de sanidad vegetal.
0479 Control fitosanitario."
Agraria,CFGM,Técnico en Aprovechamiento y Conservación del Medio Natural,UC1121_2: Manejar tractores forestales y realizar su mantenimiento.,0837. Maquinaria e instalaciones forestales.
Agraria,CFGM,Técnico en Jardinería y Floristería,"UC0531_2: Instalar jardines de interior, exterior y zonas verdes.",0576. Implantación de jardines y zonas verdes.
Agraria,CFGM,Técnico en Jardinería y Floristería,"UC0532_2: Mantener y mejorar jardines de interior, exterior y zonas verdes.
UC1119_2: Realizar trabajos en altura en los árboles.",0577. Mantenimiento y mejora de jardines y zonas verdes.
Agraria,CFGM,Técnico en Jardinería y Floristería,"UC1479_2: Realizar operaciones de propagación de plantas en vivero.
UC1480_2: Realizar operaciones de cultivo de plantas y tepes en vivero",0578. Producción de plantas y tepes en vivero.
Agraria,CFGM,Técnico en Jardinería y Floristería,UC1468_2: Coordinar y realizar las actividades propias de empresas de floristería.,0580. Establecimientos de floristería.
Agraria,CFGM,Técnico en Jardinería y Floristería,"UC1469_2: Realizar composiciones florales.
UC1470_2: Realizar composiciones con plantas.",0579. Composiciones florales y con plantas.
Agraria,CFGM,Técnico en Jardinería y Floristería,UC1471_2: Vender e informar sobre productos y servicios de floristería.,0581. Técnicas de venta en jardinería y floristería
Agraria,CFGM,Técnico en Jardinería y Floristería,"UC0525_2 Controlar las plagas, enfermedades, malas hierbas y fisiopatías.","0479. Control fitosanitario.
0409. Principios de sanidad vegetal."
Agraria,CFGM,Técnico en Jardinería y Floristería,"UC0526_2 Manejar tractores y montar instalaciones agrarias, realizando su mantenimiento.","0407. Taller y equipos de tracción.
0408. Infraestructuras e instalaciones agrícolas."
Agraria,CFGM,Técnico en Producción Agroecológica,UC0716_2 Preparar el terreno e implantar cultivos en explotaciones ecológicas.,0406 Implantación de cultivos ecológicos.
Agraria,CFGM,Técnico en Producción Agroecológica,UC0723_2 Preparar el terreno e implantar pastos y cultivos herbáceos en explotaciones ganaderas ecológicas.,0406 Implantación de cultivos ecológicos.
Agraria,CFGM,Técnico en Producción Agroecológica,UC0717_2 Manejar el suelo y realizar las labores culturales y de recolección en explotaciones ecológicas.,0410 Producción vegetal ecológica.
Agraria,CFGM,Técnico en Producción Agroecológica,UC0724_2 Realizar las labores de producción y recolección de pastos y cultivos herbáceos para alimentación en ganadería ecológica.,"0410 Producción vegetal ecológica.
0412 Manejo sanitario del agrosistema."
Agraria,CFGM,Técnico en Producción Agroecológica,UC0718_2 Controlar y manejar el estado sanitario del agroecosistema.,"0412 Manejo sanitario del agrosistema.
0409 Principios de sanidad vegetal."
Agraria,CFGM,Técnico en Producción Agroecológica,"UC0526_2 Manejar tractores y montar instalaciones agrarias, realizando su mantenimiento.","0408 Infraestructuras e instalaciones agrícolas.
0407 Taller y equipos de tracción."
Agraria,CFGM,Técnico en Producción Agroecológica,"UC0006_2 Montar y mantener las instalaciones, maquinaria y equipos de la explotación ganadera.",0407 Taller y equipos de tracción
Agraria,CFGM,Técnico en Producción Agroecológica,"UC0725_2 Realizar operaciones de manejo racional del ganado en explotaciones ecológicas.
UC0726_2 Producir animales y productos animales ecológicos.","0411 Producción ganadera ecológica.
0405 Fundamentos zootécnicos."
Agraria,CFGM,Técnico en Producción Agropecuaria,UC0523_2: Realizar las labores de preparación del terreno y de siembra y/o trasplante en cultivos herbáceos.,0475. Implantación de cultivos.
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0527_2: Realizar las labores de preparación del terreno y de plantación de cultivos leñosos (frutales de hueso y de pepita, vid, olivo y cítricos).",0475. Implantación de cultivos.
Agraria,CFGM,Técnico en Producción Agropecuaria,UC0529_2: Realizar las labores de preparación del terreno y de siembra y/ o trasplante en cultivos hortícolas y flor cortada.,0475. Implantación de cultivos.
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0524_2: Realizar las operaciones de cultivo, recolección, transporte y almacenamiento de los cultivos herbáceos.",0476. Producción agrícola.
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0528_2: Realizar las operaciones de cultivo, recolección, transporte y primer acondicionamiento de la cosecha de cultivos leñosos.",0476. Producción agrícola.
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0530_2: Realizar las operaciones de cultivo, recolección, transporte y almacenamiento de los cultivos hortícolas y de flor cortada.",0476. Producción agrícola.
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0525_2: Controlar las plagas, enfermedades, malas hierbas y fisiopatías.","0479. Control fitosanitario.
0409. Principios de sanidad vegetal."
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0526_2: Manejar tractores y montar instalaciones agrarias, realizando su mantenimiento.","0408. Infraestructuras e instalaciones agrícolas.
0407. Taller y equipos de tracción."
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0006_2: Montar y mantener las instalaciones, maquinaria y equipos de la explotación ganadera.",0407. Taller y equipos de tracción.
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0281_2: Producir aves para reproducción y obtención de carne y huevos.
UC0282_2: Producir conejos para reproducción y obtención de carne.
UC0004_2: Realizar operaciones de producción en cerdas de renuevo, reproductores y cerdos lactantes.
UC2306_2: Realizar operaciones de producción en ganado ovino y caprino de reposición, reproductores y para obtención de leche y de lana y pieles.
UC2309_2: Producir ganado bovino de renuevo, reproductores y lactantes para la obtención de leche.","0477. Producción de leche, huevos y animales para vida.
0405. Fundamentos zootécnicos."
Agraria,CFGM,Técnico en Producción Agropecuaria,"UC0005_2: Realizar operaciones de producción en cerdos de recría y cebo.
UC2307_2: Realizar operaciones de producción en rumiantes ovino y caprino de cebo.
UC2310_2: Producir bovinos de recría y de cebo para la obtención de carne.","0478. Producciones de carne y otras producciones ganaderas.
0405. Fundamentos zootécnicos."
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,"UC1495_3: Gestionar los procesos de producción de animales de renuevo, de reproductores y crías, y de leche.
UC0533_3: Controlar y organizar las actividades con sementales, yeguas reproductoras y potros lactantes.",1274. Organización y control de la reproducción y cría.
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,"UC1496_3: Gestionar los procesos de producción de animales de recría y de cebo.
UC1497_3: Gestionar los procesos de producción de aves y de huevos.",1275. Gestión de la producción animal.
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,UC0534_3: Controlar y organizar el destete y las actividades de recría de los potros.,1276. Gestión de la recría de caballos.
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,"UC0535_3: Supervisar las tareas de doma básica y manejo de caballos para fines recreativos, de trabajo y deportivos, y en exhibiciones y/o concursos.",1277. Organización y supervisión de la doma y manejo de équidos.
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,"UC0536_3: Gestionar las instalaciones, maquinaria, material y equipos de la explotación ganadera.",1278. Maquinaria e instalaciones ganaderas.
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,UC2068_3: Desarrollar programas sanitarios y tratamientos colectivos en animales de granja y producción.,1279. Saneamiento ganadero.
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,UC2071_3: Asistir a la atención clínica veterinaria en animales de granja y producción.,1280. Asistencia a la atención veterinaria.
Agraria,CFGS,Técnico Superior en Ganadería y Asistencia en Sanidad Animal,"UC2067_3: Desarrollar programas de bioseguridad en explotaciones ganaderas.
UC2070_3: Recoger muestras biológicas, ambientales y de piensos y realizar análisis rápidos.",1281. Bioseguridad.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC1487_3: Gestionar los aprovechamientos forestales madereros.
UC1488_3: Gestionar los aprovechamientos forestales no madereros.",0810. Gestión de los aprovechamientos del medio forestal.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC0727_3: Realizar operaciones topográficas en trabajos de agricultura, jardinería y montes.",0693. Topografía agraria.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,UC1492_3: Gestionar las operaciones de propagación de plantas en vivero.,0811. Gestión y organización del vivero forestal.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC0009_3: Gestionar la maquinaria, equipos e instalaciones de jardinería.
UC1132_3: Gestionar la maquinaria, equipos e instalaciones de la explotación agrícola.
UC0730_3: Gestionar la maquinaria, equipos e instalaciones de la explotación forestal.",0694. Maquinaria e instalaciones agroforestales.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC1499_3: Gestionar los trabajos derivados de la planificación del hábitat de las especies cinegéticas.
UC0085_3: Controlar el aprovechamiento de los recursos cinegéticos y piscícolas.",0812. Gestión cinegética.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC1498_3: Gestionar los trabajos derivados de la planificación y seguimiento del hábitat acuícola continental.
UC0085_3: Controlar el aprovechamiento de los recursos cinegéticos y piscícolas.",0813. Gestión de la pesca continental.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC0728_3: Gestionar las operaciones de repoblación forestal y de corrección hidrológico-forestal.
UC0729_3: Gestionar los tratamientos silvícolas.",0814. Gestión de montes.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC0729_3: Gestionar los tratamientos silvícolas
UC0086_3: Vigilar y colaborar en las operaciones de restauración, mantenimiento, ordenación y defensa de los recursos naturales.",0816. Defensa contra incendios forestales.
Agraria,CFGS,Técnico Superior en Gestión Forestal y del Medio Natural,"UC0083_3: Controlar y vigilar los espacios naturales y su uso público.
UC1486_3: Organizar y supervisar las operaciones de inventario y seguimiento del hábitat natural.",0815. Gestión de la conservación del medio natural.
Agraria,CFGS,Técnico Superior en Paisajismo y Medio Rural,UC0007_3: Gestionar y ejecutar la instalación de parques y jardines y la restauración del paisaje.,0697. Diseño de jardines y restauración del paisaje.
Agraria,CFGS,Técnico Superior en Paisajismo y Medio Rural,"UC0727_3: Realizar operaciones topográficas en trabajos de agricultura, jardinería y montes.",0693. Topografía agraria.
Agraria,CFGS,Técnico Superior en Paisajismo y Medio Rural,"UC0008_3: Gestionar y realizar la conservación de parques y jardines.
UC1128_3: Organizar y supervisar el mantenimiento y recuperación de césped en campos deportivos.",0698. Conservación de jardines y céspedes deportivos.
Agraria,CFGS,Técnico Superior en Paisajismo y Medio Rural,"UC0009_3: Gestionar la maquinaria, equipos e instalaciones de jardinería.
UC1132_3: Gestionar la maquinaria, equipos e instalaciones de la explotación agrícola.
UC0730_3: Gestionar la maquinaria, equipos e instalaciones de la explotación forestal.",0694. Maquinaria e instalaciones agroforestales.
Agraria,CFGS,Técnico Superior en Paisajismo y Medio Rural,"UC1492_3: Gestionar las operaciones de propagación de plantas en vivero.
UC1493_3: Gestionar el cultivo de plantas y tepes en vivero.",0691. Gestión y organización del vivero.
Agraria,CFGS,Técnico Superior en Paisajismo y Medio Rural,UC1129_3: Gestionar las labores de preparación del terreno y de implantación de cultivos.,0695. Planificación de cultivos.
Agraria,CFGS,Técnico Superior en Paisajismo y Medio Rural,"UC1130_3: Programar y organizar las operaciones de cultivo.
UC1131_3: Gestionar las operaciones de recolección y conservación de productos agrícolas.",0696. Gestión de cultivos.
Artes Gráficas,CFGM,Técnico en Impresión Gráfica,"UC0200_2: Operar en el proceso gráfico en condiciones de seguridad, calidad y productividad.
UC0202_2: Determinar y ajustar los elementos del proceso de impresión.",0877. Preparación y regulación de máquinas offset.
Artes Gráficas,CFGM,Técnico en Impresión Gráfica,UC0203_2: Realizar la impresión offset.,0878. Desarrollo de la tirada offset.
Artes Gráficas,CFGM,Técnico en Impresión Gráfica,"UC1344_2: Realizar el montaje de clichés y ajustar los elementos del proceso de impresión en flexografía.
UC1345_2: Realizar la impresión en flexografía.",0879. Impresión en flexografía.
Artes Gráficas,CFGM,Técnico en Impresión Gráfica,"UC1348_2: Realizar la impresión en serigrafía.
UC0921_2: Obtener formas impresoras mediante sistemas digitales directos.",0880. Impresión en serigrafía.
Artes Gráficas,CFGM,Técnico en Impresión Gráfica,"UC0482_2: Interpretar y gestionar la información digital necesaria para la impresión del producto digital.
UC0483_2: Preparar los equipos, ajustar los parámetros y realizar la impresión digital.",0869. Impresión digital.
Artes Gráficas,CFGM,Técnico en Impresión Gráfica,UC0201_2: Preparar las materias primas y productos intermedios para la impresión.,0882. Preparación de materiales para impresión.
Artes Gráficas,CFGM,Técnico en Impresión Gráfica,"UC1346_2: Ajustar los elementos del proceso de impresión en huecograbado.
UC1347_2: Realizar la impresión en huecograbado.",0883. Impresión bajorrelieve.
Artes Gráficas,CFGM,Técnico en Postimpresión y Acabados Gráficos,"UC0691_2: Preparar las materias primas y los productos auxiliares para la encuadernación.
UC0692_2: Ajustar parámetros, sincronizar equipos y efectuar el corte de materiales gráficos.
UC0693_2: Ajustar parámetros, nivelar elementos y realizar el plegado.",1214. Guillotinado y plegado.
Artes Gráficas,CFGM,Técnico en Postimpresión y Acabados Gráficos,"UC0926_2: Ajustar parámetros, sincronizar equipos y efectuar encuadernación con grapa.",1215. Encuadernación en grapa.
Artes Gráficas,CFGM,Técnico en Postimpresión y Acabados Gráficos,"UC0927_2: Ajustar parámetros, nivelar elementos y realizar el alzado y cosido con hilo vegetal.
UC1351_2: Efectuar la encuadernación industrial en líneas de rústica y tapa dura.",1216. Encuadernación en rústica y tapa dura.
